"CIUDAD";"NOMBRE OFICINA";"DIRECCIÓN";"lat";"lon";"Num_Eventos"
"SANTANDER DE QUILICHAO";"SANTANDER DE QUILICHAO";"CARRERA 10 No.4 - 46";3,0082931;-76,482457;1
"VALLEDUPAR";"CENTRO COMERCIAL VALLEDUPAR";"CARRERA 7 A No. 19 A 117";10,4706744;-73,2425203;1
"VALLEDUPAR";"PLAZA LOPERENA";"CALLE 15 No. 14-33 LOCAL 101";10,4959187;-73,2691895;1
"VALLEDUPAR";"VALLEDUPAR";"CARRERA 9 No. 15A-25";10,4756733;-73,2473244;1
"VILLAGARZÓN";"AGENCIA VILLAGARZÓN";"CARRERA 5 No. 1-53";1,0301592;-76,6156247;1
"VILLETA";"VILLETA";"CALLE 5 No. 7-86";5,011706;-74,470362;1
"YUMBO";"YUMBO";"CARRERA 4 No. 6 - 17";3,5837261;-76,494637;1
"ACACIAS";"ACACIAS";"CARRERA 18 No. 12-16";3,9846721;-73,7623894;0
"AGUAZUL";"AGUAZUL";"CARRERA 17 No. 10-68";5,1712087;-72,5498297;0
"APARTADÓ";"APARTADO";"CARRERA 100 No. 94-38";7,8799716;-76,6333145;0
"ARAUCA";"ARAUCA";"CARRERA 21 No. 19- 20";7,0841896;-70,7579917;0
"ARAUQUITA";"AGENCIA ARAUQUITA";"CALLE 3 RA No. 4-47";7,029334;-71,4294759;0
"ARMENIA";"ARMENIA CENTRO";"CARRERA 16 No.19-61";4,5340736;-75,6737144;0
"ARMENIA";"ARMENIA NORTE";"CARRERA 14 No. 16 NORTE-47 AVENIDA BOLIVAR";4,5412905;-75,6641917;0
"ARMENIA";"BBVA CARRERA 13 ARMENIA";"CARRERA 13 NO. 16 - 53/55";4,533936;-75,6708967;0
"ARMENIA";"CENTRO COMERCIAL CALIMA ARMENIA";"AVENIDA CENTENARIO No. 3 -180 LOCAL - 1-21";4,5419107;-75,6592967;0
"BARBOSA";"BARBOSA";"CARRERA 9 No. 8-52";5,9308856;-73,6177839;0
"BARRANCABERMEJA";"SAN SILVESTRE";"CARRERA 19 CON AVENIDA 58A LOCAL 140-144";7,067286;-73,857952;0
"BARRANCABERMEJA";"EL PARQUE";"Calle 49 No. 16-69";7,0595147;-73,8608623;0
"BARRANCAS";"BARRANCAS";"CALLE 9 No. 6-60";10,9551137;-72,7874004;0
"BARRANQUILLA";"BANCA PERSONAL BARRANQUILLA";"CALLE 82 No. 55-55 Local 3-06";11,0083221;-74,8119313;0
"BARRANQUILLA";"CARRERA 43";"CARRERA 43 No. 76-85";10,9944496;-74,8123156;0
"BARRANQUILLA";"EL PRADO";"CARRERA 52 No. 74-28";10,999465;-74,8045045;0
"BARRANQUILLA";"EL VIVERO";"CALLE 77 No. 66-30";11,0099443;-74,7998638;0
"BARRANQUILLA";"GRANCENTRO";"CARRERA 53 No. 68 B-125 LOCAL 1-111";10,9966662;-74,7996023;0
"BARRANQUILLA";"GRAN BOULEVARD";"CALLE 106 No. 50-67 LOCAL 1";10,998554;-74,817749;0
"BARRANQUILLA";"GREEN TOWERS";"Calle 77B No. 57-103 L 6-7 Centro Empresarial Green Towers";11,0058985;-74,8030962;0
"BARRANQUILLA";"METROPOLITANO";"CARRERA . 28 NO 58-128 SOLEDAD ATL.";10,92404;-74,797326;0
"BARRANQUILLA";"PASEO BOLIVAR";"CALLE 34 No. 43-75";10,9818058;-74,7780145;0
"BELLO";"PUERTA DEL NORTE";"DIAGONAL 55 No. 34 -67 Local 2 - 082";6,3404874;-75,5426032;0
"BOGOTA";"BARRIO SANTANDER";"AVENIDA 1ª DE MAYO No. 29d - 45 Av 1 de Mayo No. 29d-45";4,5704865;-74,0886079;0
"BOGOTA";"PRIMERO DE MAYO";"CARRERA 10 No. 20-08 SUR";4,6077422;-74,073126;0
